"name","run.no.in.std.order","run.no","run.no.std.rp","size","threads","version","optimization","time"
"153","515",153,"515.1","1024","4","3.5.1","O3",""
"154","284",154,"284.1","1448","16","3.8.0","O1",""
"155","492",155,"492.1","1448","4","3.9.0","O2",""
"156","335",156,"335.1","1024","32","3.9.0","O1",""
"157","145",157,"145.1","512","1","3.9.0","O0",""
"158","211",158,"211.1","1024","16","3.6.2","O1",""
"159","190",159,"190.1","724","32","3.5.1","O1",""
"160","524",160,"524.1","1448","16","3.5.1","O3",""
"161","461",161,"461.1","512","2","3.8.1","O2",""
"162","483",162,"483.1","1024","1","3.9.0","O2",""
"163","362",163,"362.1","724","1","3.6.2","O2",""
"164","136",164,"136.1","1448","8","3.8.1","O0",""
"165","549",165,"549.1","512","32","3.6.2","O3",""
"166","644",166,"644.1","1448","16","3.8.1","O3",""
"167","499",167,"499.1","1024","16","3.9.0","O2",""
"168","168",168,"168.1","1448","32","3.9.0","O0",""
"169","527",169,"527.1","1024","32","3.5.1","O3",""
"170","279",170,"279.1","1024","8","3.8.0","O1",""
"171","262",171,"262.1","724","32","3.7.1","O1",""
"172","116",172,"116.1","1448","16","3.8.0","O0",""
"173","584",173,"584.1","1448","2","3.7.1","O3",""
"174","106",174,"106.1","724","4","3.8.0","O0",""
"175","27",175,"27.1","1024","1","3.6.2","O0",""
"176","611",176,"611.1","1024","4","3.8.0","O3",""
"177","281",177,"281.1","512","16","3.8.0","O1",""
"178","16",178,"16.1","1448","8","3.5.1","O0",""
"179","322",179,"322.1","724","4","3.9.0","O1",""
"180","498",180,"498.1","724","16","3.9.0","O2",""
"181","56",181,"56.1","1448","2","3.7.0","O0",""
"182","192",182,"192.1","1448","32","3.5.1","O1",""
"183","112",183,"112.1","1448","8","3.8.0","O0",""
"184","250",184,"250.1","724","4","3.7.1","O1",""
"185","505",185,"505.1","512","1","3.5.1","O3",""
"186","10",186,"10.1","724","4","3.5.1","O0",""
"187","267",187,"267.1","1024","1","3.8.0","O1",""
"188","510",188,"510.1","724","2","3.5.1","O3",""
"189","91",189,"91.1","1024","16","3.7.1","O0",""
"190","311",190,"311.1","1024","32","3.8.1","O1",""
"191","421",191,"421.1","512","8","3.7.1","O2",""
"192","103",192,"103.1","1024","2","3.8.0","O0",""
"193","314",193,"314.1","724","1","3.9.0","O1",""
"194","354",194,"354.1","724","16","3.5.1","O2",""
"195","11",195,"11.1","1024","4","3.5.1","O0",""
"196","208",196,"208.1","1448","8","3.6.2","O1",""
"197","355",197,"355.1","1024","16","3.5.1","O2",""
"198","110",198,"110.1","724","8","3.8.0","O0",""
"199","551",199,"551.1","1024","32","3.6.2","O3",""
"200","126",200,"126.1","724","2","3.8.1","O0",""
"201","592",201,"592.1","1448","8","3.7.1","O3",""
"202","646",202,"646.1","724","32","3.8.1","O3",""
"203","522",203,"522.1","724","16","3.5.1","O3",""
"204","502",204,"502.1","724","32","3.9.0","O2",""
"205","86",205,"86.1","724","8","3.7.1","O0",""
"206","429",206,"429.1","512","32","3.7.1","O2",""
"207","170",207,"170.1","724","1","3.5.1","O1",""
"208","120",208,"120.1","1448","32","3.8.0","O0",""
"209","438",209,"438.1","724","2","3.8.0","O2",""
"210","357",210,"357.1","512","32","3.5.1","O2",""
"211","101",211,"101.1","512","2","3.8.0","O0",""
"212","239",212,"239.1","1024","32","3.7.0","O1",""
"213","200",213,"200.1","1448","2","3.6.2","O1",""
"214","331",214,"331.1","1024","16","3.9.0","O1",""
"215","451",215,"451.1","1024","16","3.8.0","O2",""
"216","458",216,"458.1","724","1","3.8.1","O2",""
"217","329",217,"329.1","512","16","3.9.0","O1",""
"218","353",218,"353.1","512","16","3.5.1","O2",""
"219","12",219,"12.1","1448","4","3.5.1","O0",""
"220","285",220,"285.1","512","32","3.8.0","O1",""
"221","45",221,"45.1","512","32","3.6.2","O0",""
"222","583",222,"583.1","1024","2","3.7.1","O3",""
"223","553",223,"553.1","512","1","3.7.0","O3",""
"224","149",224,"149.1","512","2","3.9.0","O0",""
"225","276",225,"276.1","1448","4","3.8.0","O1",""
"226","291",226,"291.1","1024","1","3.8.1","O1",""
"227","469",227,"469.1","512","8","3.8.1","O2",""
"228","71",228,"71.1","1024","32","3.7.0","O0",""
"229","61",229,"61.1","512","8","3.7.0","O0",""
"230","158",230,"158.1","724","8","3.9.0","O0",""
"231","393",231,"393.1","512","4","3.7.0","O2",""
"232","37",232,"37.1","512","8","3.6.2","O0",""
"233","672",233,"672.1","1448","32","3.9.0","O3",""
"234","64",234,"64.1","1448","8","3.7.0","O0",""
"235","356",235,"356.1","1448","16","3.5.1","O2",""
"236","384",236,"384.1","1448","32","3.6.2","O2",""
"237","5",237,"5.1","512","2","3.5.1","O0",""
"238","324",238,"324.1","1448","4","3.9.0","O1",""
"239","82",239,"82.1","724","4","3.7.1","O0",""
"240","77",240,"77.1","512","2","3.7.1","O0",""
"241","223",241,"223.1","1024","2","3.7.0","O1",""
"242","1",242,"1.1","512","1","3.5.1","O0",""
"243","277",243,"277.1","512","8","3.8.0","O1",""
"244","113",244,"113.1","512","16","3.8.0","O0",""
"245","398",245,"398.1","724","8","3.7.0","O2",""
"246","99",246,"99.1","1024","1","3.8.0","O0",""
"247","640",247,"640.1","1448","8","3.8.1","O3",""
"248","92",248,"92.1","1448","16","3.7.1","O0",""
"249","114",249,"114.1","724","16","3.8.0","O0",""
"250","513",250,"513.1","512","4","3.5.1","O3",""
"251","34",251,"34.1","724","4","3.6.2","O0",""
"252","667",252,"667.1","1024","16","3.9.0","O3",""
"253","32",253,"32.1","1448","2","3.6.2","O0",""
"254","147",254,"147.1","1024","1","3.9.0","O0",""
"255","628",255,"628.1","1448","1","3.8.1","O3",""
"256","247",256,"247.1","1024","2","3.7.1","O1",""
"257","435",257,"435.1","1024","1","3.8.0","O2",""
"258","635",258,"635.1","1024","4","3.8.1","O3",""
"259","533",259,"533.1","512","2","3.6.2","O3",""
"260","332",260,"332.1","1448","16","3.9.0","O1",""
"261","7",261,"7.1","1024","2","3.5.1","O0",""
"262","457",262,"457.1","512","1","3.8.1","O2",""
"263","463",263,"463.1","1024","2","3.8.1","O2",""
"264","175",264,"175.1","1024","2","3.5.1","O1",""
"265","361",265,"361.1","512","1","3.6.2","O2",""
"266","325",266,"325.1","512","8","3.9.0","O1",""
"267","395",267,"395.1","1024","4","3.7.0","O2",""
"268","512",268,"512.1","1448","2","3.5.1","O3",""
"269","660",269,"660.1","1448","4","3.9.0","O3",""
"270","326",270,"326.1","724","8","3.9.0","O1",""
"271","50",271,"50.1","724","1","3.7.0","O0",""
"272","323",272,"323.1","1024","4","3.9.0","O1",""
"273","556",273,"556.1","1448","1","3.7.0","O3",""
"274","288",274,"288.1","1448","32","3.8.0","O1",""
"275","555",275,"555.1","1024","1","3.7.0","O3",""
"276","568",276,"568.1","1448","8","3.7.0","O3",""
"277","134",277,"134.1","724","8","3.8.1","O0",""
"278","388",278,"388.1","1448","1","3.7.0","O2",""
"279","96",279,"96.1","1448","32","3.7.1","O0",""
"280","251",280,"251.1","1024","4","3.7.1","O1",""
"281","569",281,"569.1","512","16","3.7.0","O3",""
"282","554",282,"554.1","724","1","3.7.0","O3",""
"283","154",283,"154.1","724","4","3.9.0","O0",""
"284","544",284,"544.1","1448","8","3.6.2","O3",""
"285","565",285,"565.1","512","8","3.7.0","O3",""
"286","493",286,"493.1","512","8","3.9.0","O2",""
"287","345",287,"345.1","512","4","3.5.1","O2",""
"288","183",288,"183.1","1024","8","3.5.1","O1",""
"289","253",289,"253.1","512","8","3.7.1","O1",""
"290","456",290,"456.1","1448","32","3.8.0","O2",""
"291","367",291,"367.1","1024","2","3.6.2","O2",""
"292","369",292,"369.1","512","4","3.6.2","O2",""
"293","98",293,"98.1","724","1","3.8.0","O0",""
"294","613",294,"613.1","512","8","3.8.0","O3",""
"295","537",295,"537.1","512","4","3.6.2","O3",""
"296","260",296,"260.1","1448","16","3.7.1","O1",""
"297","477",297,"477.1","512","32","3.8.1","O2",""
"298","342",298,"342.1","724","2","3.5.1","O2",""
"299","376",299,"376.1","1448","8","3.6.2","O2",""
"300","539",300,"539.1","1024","4","3.6.2","O3",""
"301","143",301,"143.1","1024","32","3.8.1","O0",""
"302","437",302,"437.1","512","2","3.8.0","O2",""
"303","218",303,"218.1","724","1","3.7.0","O1",""
"304","423",304,"423.1","1024","8","3.7.1","O2",""
"305","430",305,"430.1","724","32","3.7.1","O2",""
"306","403",306,"403.1","1024","16","3.7.0","O2",""
"307","23",307,"23.1","1024","32","3.5.1","O0",""
"308","600",308,"600.1","1448","32","3.7.1","O3",""
"309","244",309,"244.1","1448","1","3.7.1","O1",""
"310","348",310,"348.1","1448","4","3.5.1","O2",""
"311","189",311,"189.1","512","32","3.5.1","O1",""
"312","76",312,"76.1","1448","1","3.7.1","O0",""
"313","602",313,"602.1","724","1","3.8.0","O3",""
"314","422",314,"422.1","724","8","3.7.1","O2",""
"315","574",315,"574.1","724","32","3.7.0","O3",""
"316","340",316,"340.1","1448","1","3.5.1","O2",""
"317","643",317,"643.1","1024","16","3.8.1","O3",""
"318","130",318,"130.1","724","4","3.8.1","O0",""
"319","312",319,"312.1","1448","32","3.8.1","O1",""
"320","140",320,"140.1","1448","16","3.8.1","O0",""
"321","318",321,"318.1","724","2","3.9.0","O1",""
